w1y16,12/28/2015,1/3/2016
w2y16,1/4/2016,1/10/2016
w3y16,1/11/2016,1/17/2016
w4y16,1/18/2016,1/24/2016
w5y16,1/25/2016,1/31/2016
w6y16,2/1/2016,2/7/2016
w7y16,2/8/2016,2/14/2016
w8y16,2/15/2016,2/21/2016
w9y16,2/22/2016,2/28/2016
w10y16,2/29/2016,3/6/2016
w11y16,3/7/2016,3/13/2016
w12y16,3/14/2016,3/20/2016
w13y16,3/21/2016,3/27/2016
w14y16,3/28/2016,4/3/2016
w15y16,4/4/2016,4/10/2016
w16y16,4/11/2016,4/17/2016
w17y16,4/18/2016,4/24/2016
w18y16,4/25/2016,5/1/2016
w19y16,5/2/2016,5/8/2016
w20y16,5/9/2016,5/15/2016
w21y16,5/16/2016,5/22/2016
w22y16,5/23/2016,5/29/2016
w23y16,5/30/2016,6/5/2016
w24y16,6/6/2016,6/12/2016
w25y16,6/13/2016,6/19/2016
w26y16,6/20/2016,6/26/2016
w27y16,6/27/2016,7/3/2016
w28y16,7/4/2016,7/10/2016
w29y16,7/11/2016,7/17/2016
w30y16,7/18/2016,7/24/2016
w31y16,7/25/2016,7/31/2016
w32y16,8/1/2016,8/7/2016
w33y16,8/8/2016,8/14/2016
w34y16,8/15/2016,8/21/2016
w35y16,8/22/2016,8/28/2016
w36y16,8/29/2016,9/4/2016
w37y16,9/5/2016,9/11/2016
w38y16,9/12/2016,9/18/2016
w39y16,9/19/2016,9/25/2016
w40y16,9/26/2016,10/2/2016
w41y16,10/3/2016,10/9/2016
w42y16,10/10/2016,10/16/2016
w43y16,10/17/2016,10/23/2016
w44y16,10/24/2016,10/30/2016
w45y16,10/31/2016,11/6/2016
w46y16,11/7/2016,11/13/2016
w47y16,11/14/2016,11/20/2016
w48y16,11/21/2016,11/27/2016
w49y16,11/28/2016,12/4/2016
w50y16,12/5/2016,12/11/2016
w51y16,12/12/2016,12/18/2016
w52y16,12/19/2016,12/25/2016
